regency_city,year,total_population,number_of_poor_people,poverty_percentage,school_participation_rate,sanitation_access_percent,drinking_water_access_percent,proper_housing_percent,unemployment_rate,gdp_per_capita,population_density,hdi
Kabupaten Lamongan,2020,1344200.0,,,28.67,92.23,92.18,,5.13,29220.6,754.0,72.58
Kabupaten Lamongan,2021,,166.82,13.86,29.37,89.7,81.98,,4.9,30373.1,,73.12
Kabupaten Lamongan,2022,1371510.0,151.08,12.53,73.67,90.66,78.56,,6.05,33398.6,783.0,74.02
Kabupaten Lamongan,2023,,,,25.75,,,,5.46,35725.7,,74.53
Kabupaten Lamongan,2024,,,,24.04,,,,4.34,37787.6,,75.9
Kabupaten Gresik,2020,1311200.0,,,26.55,96.9,94.63,,8.21,102622.8,1101.0,76.11
Kabupaten Gresik,2021,,166.35,12.42,26.64,91.56,88.99,,8.0,109418.3,,76.5
Kabupaten Gresik,2022,1332660.0,149.64,11.06,83.16,90.29,91.5,,7.84,122650.1,1061.0,77.16
Kabupaten Gresik,2023,,,,28.14,,,,6.82,130527.0,,77.98
Kabupaten Gresik,2024,,,,27.68,,,,6.45,138271.2,,78.93
Kabupaten Bangkalan,2020,1060400.0,,,19.01,56.18,93.92,,8.77,22038.2,1059.0,64.11
Kabupaten Bangkalan,2021,,215.97,21.57,18.7,39.44,97.39,,8.07,23147.7,,64.36
Kabupaten Bangkalan,2022,1086620.0,196.11,19.44,49.15,53.48,93.91,,8.05,25134.3,835.0,65.05
Kabupaten Bangkalan,2023,,,,15.91,,,,6.18,25408.1,,65.75
Kabupaten Bangkalan,2024,,,,14.21,,,,5.35,26066.4,,67.33
Kabupaten Sampang,2020,969700.0,,,18.28,81.85,89.89,,3.35,20503.0,786.0,62.7
Kabupaten Sampang,2021,,237.23,23.76,17.71,76.22,89.34,,3.45,21064.1,,62.8
Kabupaten Sampang,2022,984160.0,217.97,21.61,55.75,79.33,93.25,,3.11,23186.1,801.0,63.39
Kabupaten Sampang,2023,,,,15.64,,,,2.72,23978.2,,64.13
Kabupaten Sampang,2024,,,,13.73,,,,2.5,24483.8,,66.72
Kabupaten Pamekasan,2020,850100.0,,,20.54,68.25,90.49,,3.49,19778.6,1073.0,66.26
Kabupaten Pamekasan,2021,,137.12,15.3,22.04,70.85,89.15,,3.1,20596.4,,66.4
Kabupaten Pamekasan,2022,857820.0,126.02,13.93,73.26,65.95,95.24,,1.4,22225.7,1079.0,66.99
Kabupaten Pamekasan,2023,,,,17.48,,,,1.74,23842.1,,67.96
Kabupaten Pamekasan,2024,,,,19.29,,,,1.64,25423.6,,70.85
Kabupaten Sumenep,2020,1124400.0,,,20.43,64.74,97.82,,2.84,29166.2,563.0,66.43
Kabupaten Sumenep,2021,,224.73,20.51,20.87,65.66,98.29,,2.31,31177.3,,67.04
Kabupaten Sumenep,2022,1136630.0,206.2,18.76,78.65,67.68,94.6,,1.36,35324.2,545.0,67.87
Kabupaten Sumenep,2023,,,,17.49,,,,1.71,37473.5,,68.61
Kabupaten Sumenep,2024,,,,18.5,,,,1.69,39215.0,,69.78
Kota Kediri,2020,,,,34.26,,,,6.21,462198.7,,78.23
Kota Kediri,2021,,,,35.13,,,,6.37,489294.0,,78.6
Kota Kediri,2022,,,,87.08,,,,4.38,522857.1,,79.59
Kota Kediri,2023,,,,33.48,,,,4.06,541067.7,,80.44
Kota Kediri,2024,,,,30.44,,,,3.91,565840.5,,81.88
Kota Blitar,2020,,,,34.01,,,,6.68,45090.1,,78.57
Kota Blitar,2021,,,,35.0,,,,6.61,47329.3,,78.98
Kota Blitar,2022,,,,90.52,,,,5.39,51593.4,,79.93
Kota Blitar,2023,,,,30.56,,,,5.24,55523.3,,80.63
Kota Blitar,2024,,,,30.33,,,,5.11,59326.4,,81.44
Kota Malang,2020,,,,60.88,,,,9.61,85539.5,,81.45
Kota Malang,2021,,,,61.41,,,,9.65,90159.9,,82.04
Kota Malang,2022,,,,80.75,,,,7.66,98884.9,,82.71
Kota Malang,2023,,,,50.38,,,,6.8,107541.8,,83.39
Kota Malang,2024,,,,50.33,,,,6.1,114721.6,,84.68
Kota Probolinggo,2020,,,,24.87,,,,6.7,46301.6,,73.27
Kota Probolinggo,2021,,,,25.66,,,,6.55,48406.1,,73.66
Kota Probolinggo,2022,,,,81.93,,,,4.57,52920.9,,74.56
Kota Probolinggo,2023,,,,22.55,,,,4.53,57885.1,,75.43
Kota Probolinggo,2024,,,,25.61,,,,4.44,61613.6,,77.79
Kota Pasuruan,2020,,,,22.4,,,,6.33,38774.0,,75.26
Kota Pasuruan,2021,,,,23.28,,,,6.23,40372.0,,75.62
Kota Pasuruan,2022,,,,78.69,,,,6.18,44302.5,,76.54
Kota Pasuruan,2023,,,,22.78,,,,5.64,48057.8,,77.17
Kota Pasuruan,2024,,,,19.99,,,,4.63,51087.4,,78.9
Kota Mojokerto,2020,,,,31.03,,,,6.74,49840.4,,78.04
Kota Mojokerto,2021,,,,31.93,,,,6.87,51961.6,,78.43
Kota Mojokerto,2022,,,,81.96,,,,5.05,56648.2,,79.32
Kota Mojokerto,2023,,,,24.82,,,,4.73,59061.3,,80.07
